NO:24 is    3 ,   6 ,   8 ,   1 ,   5 ,   7 ,   2 ,   4 ,
NO:25 is    3 ,   6 ,   8 ,   2 ,   4 ,   1 ,   7 ,   5 ,
NO:26 is    3 ,   7 ,   2 ,   8 ,   5 ,   1 ,   4 ,   6 ,
NO:27 is    3 ,   7 ,   2 ,   8 ,   6 ,   4 ,   1 ,   5 ,
NO:28 is    3 ,   8 ,   4 ,   7 ,   1 ,   6 ,   2 ,   5 ,
NO:29 is    4 ,   1 ,   5 ,   8 ,   2 ,   7 ,   3 ,   6 ,
NO:30 is    4 ,   1 ,   5 ,   8 ,   6 ,   3 ,   7 ,   2 ,
NO:31 is    4 ,   2 ,   5 ,   8 ,   6 ,   1 ,   3 ,   7 ,
NO:32 is    4 ,   2 ,   7 ,   3 ,   6 ,   8 ,   1 ,   5 ,
NO:33 is    4 ,   2 ,   7 ,   3 ,   6 ,   8 ,   5 ,   1 ,
NO:34 is    4 ,   2 ,   7 ,   5 ,   1 ,   8 ,   6 ,   3 ,
NO:35 is    4 ,   2 ,   8 ,   5 ,   7 ,   1 ,   3 ,   6 ,
NO:36 is    4 ,   2 ,   8 ,   6 ,   1 ,   3 ,   5 ,   7 ,
NO:37 is    4 ,   6 ,   1 ,   5 ,   2 ,   8 ,   3 ,   7 ,
NO:38 is    4 ,   6 ,   8 ,   2 ,   7 ,   1 ,   3 ,   5 ,
NO:39 is    4 ,   6 ,   8 ,   3 ,   1 ,   7 ,   5 ,   2 ,
NO:40 is    4 ,   7 ,   1 ,   8 ,   5 ,   2 ,   6 ,   3 ,
NO:41 is    4 ,   7 ,   3 ,   8 ,   2 ,   5 ,   1 ,   6 ,
NO:42 is    4 ,   7 ,   5 ,   2 ,   6 ,   1 ,   3 ,   8 ,
NO:43 is    4 ,   7 ,   5 ,   3 ,   1 ,   6 ,   8 ,   2 ,
NO:44 is    4 ,   8 ,   1 ,   3 ,   6 ,   2 ,   7 ,   5 ,
NO:45 is    4 ,   8 ,   1 ,   5 ,   7 ,   2 ,   6 ,   3 ,
NO:46 is    4 ,   8 ,   5 ,   3 ,   1 ,   7 ,   2 ,   6 ,
NO:47 is    5 ,   1 ,   4 ,   6 ,   8 ,   2 ,   7 ,   3 ,
NO:48 is    5 ,   1 ,   8 ,   4 ,   2 ,   7 ,   3 ,   6 ,
NO:49 is    5 ,   1 ,   8 ,   6 ,   3 ,   7 ,   2 ,   4 ,
NO:50 is    5 ,   2 ,   4 ,   6 ,   8 ,   3 ,   1 ,   7 ,
NO:51 is    5 ,   2 ,   4 ,   7 ,   3 ,   8 ,   6 ,   1 ,
NO:52 is    5 ,   2 ,   6 ,   1 ,   7 ,   4 ,   8 ,   3 ,
NO:53 is    5 ,   2 ,   8 ,   1 ,   4 ,   7 ,   3 ,   6 ,
NO:54 is    5 ,   3 ,   1 ,   6 ,   8 ,   2 ,   4 ,   7 ,
NO:55 is    5 ,   3 ,   1 ,   7 ,   2 ,   8 ,   6 ,   4 ,
NO:56 is    5 ,   3 ,   8 ,   4 ,   7 ,   1 ,   6 ,   2 ,
NO:57 is    5 ,   7 ,   1 ,   3 ,   8 ,   6 ,   4 ,   2 ,
NO:58 is    5 ,   7 ,   1 ,   4 ,   2 ,   8 ,   6 ,   3 ,
NO:59 is    5 ,   7 ,   2 ,   4 ,   8 ,   1 ,   3 ,   6 ,
NO:60 is    5 ,   7 ,   2 ,   6 ,   3 ,   1 ,   4 ,   8 ,
NO:61 is    5 ,   7 ,   2 ,   6 ,   3 ,   1 ,   8 ,   4 ,
NO:62 is    5 ,   7 ,   4 ,   1 ,   3 ,   8 ,   6 ,   2 ,
NO:63 is    5 ,   8 ,   4 ,   1 ,   3 ,   6 ,   2 ,   7 ,
NO:64 is    5 ,   8 ,   4 ,   1 ,   7 ,   2 ,   6 ,   3 ,
NO:65 is    6 ,   1 ,   5 ,   2 ,   8 ,   3 ,   7 ,   4 ,
NO:66 is    6 ,   2 ,   7 ,   1 ,   3 ,   5 ,   8 ,   4 ,
NO:67 is    6 ,   2 ,   7 ,   1 ,   4 ,   8 ,   5 ,   3 ,
NO:68 is    6 ,   3 ,   1 ,   7 ,   5 ,   8 ,   2 ,   4 ,
NO:69 is    6 ,   3 ,   1 ,   8 ,   4 ,   2 ,   7 ,   5 ,
NO:70 is    6 ,   3 ,   1 ,   8 ,   5 ,   2 ,   4 ,   7 ,
NO:71 is    6 ,   3 ,   5 ,   7 ,   1 ,   4 ,   2 ,   8 ,
NO:72 is    6 ,   3 ,   5 ,   8 ,   1 ,   4 ,   2 ,   7 ,
NO:73 is    6 ,   3 ,   7 ,   2 ,   4 ,   8 ,   1 ,   5 ,
NO:74 is    6 ,   3 ,   7 ,   2 ,   8 ,   5 ,   1 ,   4 ,
NO:75 is    6 ,   3 ,   7 ,   4 ,   1 ,   8 ,   2 ,   5 ,
NO:76 is    6 ,   4 ,   1 ,   5 ,   8 ,   2 ,   7 ,   3 ,
NO:77 is    6 ,   4 ,   2 ,   8 ,   5 ,   7 ,   1 ,   3 ,
NO:78 is    6 ,   4 ,   7 ,   1 ,   3 ,   5 ,   2 ,   8 ,
NO:79 is    6 ,   4 ,   7 ,   1 ,   8 ,   2 ,   5 ,   3 ,
NO:80 is    6 ,   8 ,   2 ,   4 ,   1 ,   7 ,   5 ,   3 ,
NO:81 is    7 ,   1 ,   3 ,   8 ,   6 ,   4 ,   2 ,   5 ,
NO:82 is    7 ,   2 ,   4 ,   1 ,   8 ,   5 ,   3 ,   6 ,
NO:83 is    7 ,   2 ,   6 ,   3 ,   1 ,   4 ,   8 ,   5 ,
NO:84 is    7 ,   3 ,   1 ,   6 ,   8 ,   5 ,   2 ,   4 ,
NO:85 is    7 ,   3 ,   8 ,   2 ,   5 ,   1 ,   6 ,   4 ,
NO:86 is    7 ,   4 ,   2 ,   5 ,   8 ,   1 ,   3 ,   6 ,
NO:87 is    7 ,   4 ,   2 ,   8 ,   6 ,   1 ,   3 ,   5 ,
NO:88 is    7 ,   5 ,   3 ,   1 ,   6 ,   8 ,   2 ,   4 ,
NO:89 is    8 ,   2 ,   4 ,   1 ,   7 ,   5 ,   3 ,   6 ,
NO:90 is    8 ,   2 ,   5 ,   3 ,   1 ,   7 ,   4 ,   6 ,
NO:91 is    8 ,   3 ,   1 ,   6 ,   2 ,   5 ,   7 ,   4 ,
NO:92 is    8 ,   4 ,   1 ,   3 ,   6 ,   2 ,   7 ,   5 ,
